urun_grubu,urun,baslik,problem_tarifi,cozum,etiketler,link
Enerji Verimliliği Ürün Grubu,EPR Serisi,EPR Serisi Güç ve Enerji Ölçer Cihazlardan Pulse Alınamamasının Nedeni Ne Olabilir?,EPR Serisi Güç ve Enerji Ölçer Cihazlardan Pulse Alınamamasının Nedeni Ne Olabilir?,EPR serisi enerji ve ölçerlerden pulse çıkışı alınamıyorsa bağlantıları yanlış yapılmış olabilir. Çözüm için akım ve gerilim bağlantıları kontrol edilmeli ve yanlış bağlantılar düzeltilmelidir.,No labels,https://destek.entes.com.tr/spaces/SP/pages/983505/EPR+Serisi+G%C3%BC%C3%A7+ve+Enerji+%C3%96l%C3%A7er+Cihazlardan+Pulse+Al%C4%B1namamas%C4%B1n%C4%B1n+Nedeni+Ne+Olabilir
Enerji Verimliliği Ürün Grubu,MPR-4X Serisi,MPR-4X Serisi Enerji Analizörlerinde Gerilimlerin Yanlış Gözükmesinin Nedeni Ne Olabilir?,MPR-4X Serisi Enerji Analizörlerinde Gerilimlerin Yanlış Gözükmesinin Nedeni Ne Olabilir?,"Gerilim değerlerinin yanlış gösterilmesi durumunda öncelikle kontrol edilmesi gereken 2 konu vardır;
Gerilim trafosu kullanılmıyorsa, ayarlardan gerilim trafosu “pasif” olarak işaretlenmiş olmalıdır. Gerilim ve nötr uçlarının doğru klemenslere bağlanmış olduğundan emin olunmalıdır. En çok yapılan hata nötr ucunun 4.gerilim girişine bağlanmasıdır, nötr bağlantısı nötr klemensine (16) yapılmalıdır.",analizör;mpr-4,https://destek.entes.com.tr/spaces/SP/pages/983476/MPR-4X+Serisi+Enerji+Analiz%C3%B6rlerinde+Gerilimlerin+Yanl%C4%B1%C5%9F+G%C3%B6z%C3%BCkmesinin+Nedeni+Ne+Olabilir
Enerji Verimliliği Ürün Grubu,MPR-4X,MPR-4X Serisi Enerji Analizörlerinde Log Kayıtları Silinebilir Mi?,16MB hafızaya sahip MPR-4X serisi Enerji Analizörlerinde Log kayıtları silinebilir mi?,"Cihaza factory reset yapıldığında tüm hafızasını sıfırlar, dolayısıyla loglarda silinir. Ölçülen parametrelerin hafızaya kaydedilmesi önemli bir olaydır, yanlışlıkla silindiğinde birkaç aylık hatta yıllık bilgi geri döndürülemez şekilde kaybolur.
Özellikle kesinti ve gerilim gibi kritik elektrik parametrelerini izlemek için kullanıldıgında kullanıcıların log kayıtlarını silmemesi tavsiye edilir.",mpr-4;mpr;hafıza;factory;reader;reset;log,https://destek.entes.com.tr/spaces/SP/pages/983563/MPR-4X+Serisi+Enerji+Analiz%C3%B6rlerinde+Log+Kay%C4%B1tlar%C4%B1+Silinebilir+Mi
Enerji Verimliliği Ürün Grubu,MPR-3X Serisi,MPR-3X Serisi Enerji Analizörlerinde Fabrika Çıkışlı Modbus Parametreleri Nelerdir?,MPR-3X Serisi Enerji Analizörlerinde Fabrika Çıkışlı Modbus Parametreleri Nelerdir?,"MPR-3X serisi şebeke analizörlerinde menü içinde gerekli Modbus ayarlarının yapıldığı RS-485 menüsü bulunmaktadır.
Bu RS-485 menü içinde 3 adet alt menü daha vardır;
Modbus ID (NAD) Baud Rate Parity
Bu parametreler fabrika çıkışlı olarak;
Modbus ID (NAD) : 1 Baud Rate: 115200 Parity: Yok
şeklinde ayarlanmıştır.",mpr;modbus;analizör;mpr-3,https://destek.entes.com.tr/spaces/SP/pages/983577/MPR-3X+Serisi+Enerji+Analiz%C3%B6rlerinde+Fabrika+%C3%87%C4%B1k%C4%B1%C5%9Fl%C4%B1+Modbus+Parametreleri+Nelerdir
Enerji Verimliliği Ürün Grubu,MPR-4 Serisi,MPR-4X Serisi Enerji Analizörlerinde Neden 4. Akım Trafosu Girişi Vardır?,MPR-4X Serisi Enerji Analizörlerinde neden 4 akım trafo girişi vardır? Ne amaçla kullanılır?,"Cihaz 3 akım trafosu ile kullanıldığında nötr akım hesaplanarak gösterilmektedir fakat 4. akım girişine de akım trafosu bağlanırsa, cihaz nötr akımını hesaplamaz, ölçerek tam doğru nötr akım değerini verir.
Bu özellik opsiyoneldir, isteğe bağlı olarak kullanabilir.",akım;trafosu;mpr-4;nötr,https://destek.entes.com.tr/spaces/SP/pages/983185/MPR-4X+Serisi+Enerji+Analiz%C3%B6rlerinde+Neden+4.+Ak%C4%B1m+Trafosu+Giri%C5%9Fi+Vard%C4%B1r
Enerji Verimliliği Ürün Grubu,EPM-4 Serisi,Ampermetrenin Çekilen Akım Değerlerini Yanlış Göstermesinin Nedeni Ne Olabilir?,Ampermetrenin çekilen akım değerlerini yanlış göstermesinin nedeni ne olabilir?,"Ampermetrenin çekilen akım değerlerini yanlış göstermesinin en önemli nedeni akım trafosu oranının yanlış girilmiş olmasıdır.
Bu durumda yapılması gereken; öncelikle kullanılan akım trafosunun primer akım değerini kontrol etmektir. Örneğin; kullanılan akım trafosu 100/5 bir model ise primer akım değeri 100A’dir. Sonraki adımda ampermetrenin ayar menüsünden primer akım değerinin 100 olarak girilmiş olduğuna emin olmak gerekmektedir.",No labels,https://destek.entes.com.tr/spaces/SP/pages/983225/Ampermetrenin+%C3%87ekilen+Ak%C4%B1m+De%C4%9Ferlerini+Yanl%C4%B1%C5%9F+G%C3%B6stermesinin+Nedeni+Ne+Olabilir
Kompanzasyon Ürün Grubu,RG3,Şebeke ve Jenaratör ile Beslenen Sistemlerde Yaşanabilen Hatalı Kompanzasyonun Nedeni Ne Olabilir?,Şebeke ve Jenaratör ile Beslenen Sistemlerde Yaşanabilen Hatalı Kompanzasyonun Nedeni Ne Olabilir?,"Şebeke ve jeneratör tarafından beslenen tesislerde  RG3 serisi reaktif güç kontrol rölesinin; gerilimi şebekeden, akım uçlarını ise şebeke & jeneratör ortak barasından aldığı sistemler normal olarak çalışabilmektedir. Fakat elektrik kesintisi anında jeneratör devreye gireceğinden ve reaktif güç kontrol rölesi gerilimini şebekeden aldığı için reaktif güç kontrol rölesi çalışmayacaktır.
Elektrik geri geldiği zaman, reaktif güç kontrol rölesinin tekrar çalışması anında cihaz şebekeden enerjilenmektedir fakat  jeneratör hemen devreden çıkmadığı ve akım trafoları ortak barada olduğundan dolayı, akımın jeneratörden alınması ile sorun ortaya çıkmaktadır.
Eğer şebeke RST olarak bağlı ve Jeneratör STR olarak bağlı ise faz sırası doğrudur ancak akım ile gerilim arasında açı farkı meydana gelmektedir. RG3 reaktif güç kontrol rölesi bu durumu bağlantı hatası kabul ederek bağlantıyı öğrenmeye çalışır.
Jeneratör kontaktörü devreden çıkıp, şebeke kontaktörü çektiğinde akım ile gerilim arasında tekrardan bir açı farkı olur ancak reaktif güç kontrol rölesi açılıp kapanmadığı için tekrar bağlantıları öğrenmeye çalışmaz. Hatalı açı farkı nedeni ile reaktif güç kontrol rölesi hatalı kompanzasyon yapacaktır.
Bu tür problemin önüne geçmek için RG3 reaktif güç kontrol rölesinin ""connection"" menüsünü kullanırız. Bu menü içinde ""OFF"" seçilirse, reaktif güç kontrol rölesinin beslemesi kesilip, geri geldiğinde cihaz tekrar bağlantı kontrolü yapmayacaktır, en son kaydettiği bağlantı ayarlarına göre çalışmaya devam edecektir.",besleme;rg3;hatalı;kompanzasyon;jenaratör;şebeke,https://destek.entes.com.tr/spaces/SP/pages/983348/%C5%9Eebeke+ve+Jenarat%C3%B6r+ile+Beslenen+Sistemlerde+Ya%C5%9Fanabilen+Hatal%C4%B1+Kompanzasyonun+Nedeni+Ne+Olabilir
Koruma & Kontrol Ürün Grubu,DTR,DTR Serisi Astronomik Zaman Rölesinde Programlama Nasıl Yapılır?,DTR Serisi Programlama Adımları,"“Set” tuşuna 3 sn. boyunca basılı tutunuz. Ekrana gelen “PROGRAM” simgesine, “set” tuşu yardımıyla giriş yapınız.” P01 BOŞ” ekranı karşınıza gelecektir. “Set” tuşuna 1 kez basıldığında ekrana P01-OUT C1 menüsü gelecektir “Set” tuşuna 1 kez basıldığında C1 kontağının gün doğumu, gün batımı ya da zaman seçenekleri, yukarı aşağı ok tuşları yardımıyla seçilir. İstenilen zaman aralığı, örneğin gün doğumu seçilerek ilerlenir. Karşınıza gelen ekrana, tolerans değer girilmelidir. Örneğin; gün doğumunda 2 saat sonrası olacak ise +2:00:00 saat girilmelidir. “Set” tuşu ile devam edilir. Karışınıza gelen “Hergün” seceneği eğer “evet” olacak ise tüm günler seçilecek demek oluyor, burada hayır denildiğinde haftanın günleri karşınıza gelecektir, hangi günler isteniliyorsa tek tek seçilmelidir. Bir sonraki ekran “P01 BRK” (Bırakma Kontağı) menüsü olacaktır, ok tuşları yardımıyla “gün batımı” seçilerek “set” tuşuna 1 kez basılır. Gelen ekranda istenilirse madde 6'daki tolerans alternatifi uygulanabilir. Son aşamada karşınıza gelen “Onayla” seçeneğini “ok” yardımıyla “Evet” olarak belirleyiniz ve “set” tuşuna basınız. “P01 DOLU” seçeneği karşınıza gelecektir.
Yukarıda örnek program ve işlem adımları açıklamalı şekilde verilmiştir, adımlar takip edilerek DTR zaman rölesi programlanabilir.",dtr,https://destek.entes.com.tr/spaces/SP/pages/983395/DTR+Serisi+Astronomik+Zaman+R%C3%B6lesinde+Programlama+Nas%C4%B1l+Yap%C4%B1l%C4%B1r
Kompanzasyon Ürün Grubu,RG3,RG3 Serisi Reaktif Güç Kontrol Rölelerinde Cosɸ Ayarı Nasıl Yapılır?,RG3 Serilerinde Cos Ayarı nasıl yapılır?,"“SET” tuşuna 3sn. basılı tutularak menüye girilir. Ekranda “AUTO” yazısı görülür. ‘’AŞAĞI’’ yön tuşu ile Cos menüsüne gelinir. Ekranda Cos yazısı görülür Tekrar set tuşuna basılarak Cosɸ ayar ekranına gelinir. Ekrandaki değer, Yukarı aşağı ve set tuşu kullanılarak istenilen hedef Cosɸ değerine ayarlanır. Hedef Cosɸ değerleri 0,800 ... -0,800 arasında istenilen değerde ayarlanabilir.(negatif değer kapasitif pozitif değer indüktif bölgeyi ifade eder.) “esc” tuşu ile menüden çıkarken “save-set-yes” yazısı ekranda görüldüğünde “set” tuşuna basarak ayarlanan hedef Cosɸ değeri kaydedilir. Eğer değişiklikler kaydedilmek istenmiyorsa tekrar ""esc"" tuşuna basılarak menüden çıkılır.",kompanzasyon;cos;rg,https://destek.entes.com.tr/spaces/SP/pages/983201/RG3+Serisi+Reaktif+G%C3%BC%C3%A7+Kontrol+R%C3%B6lelerinde+Cos%C9%B8+Ayar%C4%B1+Nas%C4%B1l+Yap%C4%B1l%C4%B1r
Kompanzasyon Ürün Grubu,RG Serisi,Reaktif Güç Kontrol Rölesinin Auto Setup Yapmasına Rağmen Kademeleri Çekmemesinin Nedeni Ne Olabilir?,Reaktif güç kontrol rölesine auto setup yaptırılmaktadır ancak kademeler çekmemektedir.,"Konunun çözümü için öncelikle aşağıda belirtilen kontroller sağlanmalıdır;
İlk kademede trifaze kondasatör bağlantısı olduğundan emin olunmalıdır. CT (Akım trafosu) oranının doğru girilmiş olduğu kontrol edilmelidir. Program modunun ""10"" olarak seçildiğinden emin olunmalıdır. Sisteme kaç adet kondansatör bağlandı ise o kadar kademe sayısının seçili olmasına dikkat edilmelidir. RG3-15 serisi rölelerde, en az 3 kademenin monofaze kondansatör olmasına ayrıca dikkat edilmelidir.",rg3-12cs;kompanzasyon;rg3-15cl;rg3-serisi;rg3-15cls;rg3-12c,https://destek.entes.com.tr/spaces/SP/pages/983462/Reaktif+G%C3%BC%C3%A7+Kontrol+R%C3%B6lesinin+Auto+Setup+Yapmas%C4%B1na+Ra%C4%9Fmen+Kademeleri+%C3%87ekmemesinin+Nedeni+Ne+Olabilir
Enerji Verimliliği Ürün Grubu,MPR-4X,MPR-4X Serisi Enerji Analizörlerinde Nötr Akım Gösterimi,4. akım girişine sahip MPR-4X serisi Enerji Analizörlerinde Nötr Akım nasıl gösterilir?,"3 faz için akım trafosu bağlantı girişlerinin yanı sıra MPR-4X Serisi Enerji Analizörlerinde 4. akım trafosu girişi de mevcuttur.
Bu 4. akım trafosu girişinin kullanılması zorunlu değildir, isteğe bağlıdır.
4. akım trafosu girişi boş bırakılırsa, MPR-4X Enerji Analizörü nötr akımını 3 fazın akımlarından aldığı anlık değerler ile hesaplayarak ekranında gösterecektir ve bu nötr akımı cihaz üzerinde InC parametresinden takip edilir.
Eğer kullanıcı cihazdaki 4. akım trafosu bağlantı girişine nötr hattına bağladığı akım trafosunu bağlarsa, cihaz nötr akımı hesaplamak yerine, bağlanan akım trafosundan aldığı değere göre ölçüp gösterecektir. Bu durumda nötr akım IN parametresinden takip edilir.",nötr;mpr-4;akım;mpr,https://destek.entes.com.tr/spaces/SP/pages/983161/MPR-4X+Serisi+Enerji+Analiz%C3%B6rlerinde+N%C3%B6tr+Ak%C4%B1m+G%C3%B6sterimi
Kompanzasyon Ürün Grubu,RGSR RGP,Endüktif Yük Sürücülerine Bağlanan Şönt Reaktörlerin Termik Bağlantısı Nasıl Yapılır?,Endüktif Yük Sürücülerine bağlanan Şönt Reaktörlerin Termik Bağlantısı Nasıl Yapılır?,"Endüktif Yük Sürücü özelliğine sahip Reaktif Güç Kontrol Rölelerinde, sürücülere bağlanan şönt reaktörlerin termik bağlantısı tek olduğundan dolayı bağlantı seri şekilde yapılmaktadır.",sürücü;endüktif;yük;şönt;rgsr;rgp;reaktör,https://destek.entes.com.tr/spaces/SP/pages/983358/End%C3%BCktif+Y%C3%BCk+S%C3%BCr%C3%BCc%C3%BClerine+Ba%C4%9Flanan+%C5%9E%C3%B6nt+Reakt%C3%B6rlerin+Termik+Ba%C4%9Flant%C4%B1s%C4%B1+Nas%C4%B1l+Yap%C4%B1l%C4%B1r
Koruma & Kontrol Ürün Grubu,MKC-03,MKC-03 Motor Koruma Rölesinde Voltajlar Normal Olduğu Halde Kontak Çıkışı Alınamamasının Nedeni Ne Olabilir?,"Gerilimler normal olduğu halde MKC-03 rölesi çıkış vermiyor, sebebi ne olabilir?","MKC-03 motor koruma rölesinde faz sırası koruması mevcuttur.
Faz sırasının hatalı girilmiş olması durumunda kontaktan çıkış alınamayacaktır. Faz sırasının doğru girilmiş olduğu kontrol edilmelidir.",No labels,https://destek.entes.com.tr/spaces/SP/pages/983388/MKC-03+Motor+Koruma+R%C3%B6lesinde+Voltajlar+Normal+Oldu%C4%9Fu+Halde+Kontak+%C3%87%C4%B1k%C4%B1%C5%9F%C4%B1+Al%C4%B1namamas%C4%B1n%C4%B1n+Nedeni+Ne+Olabilir
Kompanzasyon Ürün Grubu,RG3 Serisi,RG3 Serisi Reaktif Güç Kontrol Rölelerinde Eksik Tüketim Görülüyorsa Ne Yapmak Gerekir?,Elektrik sayacı ile yapılan kıyaslamada RG3 Serisi Reaktif Güç Kontrol Rölesinde tüketim değerleri eksik gözükmektedir.,"Panodaki RG3 Serisi cihazın akım trafosu ayarları kontrol edilir.
Örnek olarak, elektrik sayacında 600/5 akım trafosu kullanılmıştır, RG3 serisi Reaktif röleye elektrik sayacının Akım Trafosu (600/5= 120 ) çevirme oranının girilmiş olduğu görülür.
Reaktif güç kontrol rölesine bağlı olan akım trafosunun değeri ise örnek olarak 1250/5 olabilir.
Reaktif röleye, elektrik sayacının çevirme oranı yerine, kendisine bağlanmış olan akım trafosunun çevirme oranını (1250/5= 250 ) girerek hatalı ölçüm düzeltilir.
Bu tip durumlarda elektrik panosuna bakıldığında Reaktif Röleye bağlı olan akım trafosu gözlenmeden, direkt olarak panonun üzerinde yazan ( elektrik sayacına ait olan) çevirme oranı reaktif röleye girilebiliyor.
Elektrik sayacı akım trafosu ile Reaktif Güç Kontrol Rölesi'nin akım trafosu çevirme oranları farklı ise Reaktif Güç Kontrol Rölesi ölçümü hatalı yapabiliyor.
Bu ve benzeri hallerde bu konuya özellikle dikkat edilmesi gerekmektedir.",rg;akım;rg3;trafosu,https://destek.entes.com.tr/spaces/SP/pages/983430/RG3+Serisi+Reaktif+G%C3%BC%C3%A7+Kontrol+R%C3%B6lelerinde+Eksik+T%C3%BCketim+G%C3%B6r%C3%BCl%C3%BCyorsa+Ne+Yapmak+Gerekir
Enerji Yönetimi Ürün Grubu,"Entbus Plus, Entbus Pro","Entbus yazılımı VTS Log dosyasında ""Entbus'a tanımlı Mac adresi ile Server'ın Mac adresi aynı değil"" yazısı ile karşılaşılması durumunda ne yapılmalıdır?","Entbus yazılımı VTS Log dosyasında ""Entbus'a tanımlı Mac adresi ile Server'ın Mac adresi aynı değil"" yazısı ile karşılaşılması durumunda ne yapılmalıdır.",Entbus kullanıcı arabirimi üzerinden tanımlanan VTS sunucusunun MAC adresinin doğru olduğuna emin olunmalıdır.,mac;entbus;configuration;entbuspro;entbusplus;konfigürasyon;ethernet,https://destek.entes.com.tr/spaces/SP/pages/983570/Entbus+yaz%C4%B1l%C4%B1m%C4%B1+VTS+Log+dosyas%C4%B1nda+Entbus+a+tan%C4%B1ml%C4%B1+Mac+adresi+ile+Server+%C4%B1n+Mac+adresi+ayn%C4%B1+de%C4%9Fil+yaz%C4%B1s%C4%B1+ile+kar%C5%9F%C4%B1la%C5%9F%C4%B1lmas%C4%B1+durumunda+ne+yap%C4%B1lmal%C4%B1d%C4%B1r
Koruma & Kontrol Ürün Grubu,DTR,DTR Serisi Astronomik Zaman Rölesinde Ayar Menüsüne Giriş Şifresi Hatırlanmıyorsa Ne Yapılmalıdır?,DTR Serisi Astronomik Zaman Rölesinde Ayar Menüsüne Giriş Şifresi Hatırlanmıyorsa Ne Yapılmalıdır?,"ENTES donanımlarına yetkili kişiler dışında ayar değişikliği yapılamaması için isteğe bağlı olarak kullanıcılar tarafından şifre koyulabilmektedir.
DTR cihazında bu şifrenin hatırlanamaması durumunda cihazın kullanma talimatında yazan ENTES müşteri hizmetleri ile iletişime geçilmesi gerekmektedir.",dtr,https://destek.entes.com.tr/spaces/SP/pages/983579/DTR+Serisi+Astronomik+Zaman+R%C3%B6lesinde+Ayar+Men%C3%BCs%C3%BCne+Giri%C5%9F+%C5%9Eifresi+Hat%C4%B1rlanm%C4%B1yorsa+Ne+Yap%C4%B1lmal%C4%B1d%C4%B1r
Koruma & Kontrol Ürün Grubu,DTR,DTR Serisi Astronomik Zaman Rölesinden Kontak Çıkışı Alınamamasının Nedeni Ne Olabilir?,DTR Serisi Astronomik Zaman Rölesinden Kontak Çıkışı Alınamamasının Nedeni Ne Olabilir?,"DTR serileri içerisinde dahili olarak pil bulunur. Bu pil; güncel tarih, saat ve programların enerji kesintilerinden etkilenmemesi içindir fakat kontak çıkışı alınabilmesi için cihazın enerji beslemesinin olması gerekmektedir.
Cihazın enerjilendirilmemiş olması (Besleme bağlantılarının yapılmaması veya bağlantıda sorun olması) veya enerjide bir kesinti oluşması durumunda kontak çıkışı verilemeyecektir.",serisi;dtr,https://destek.entes.com.tr/spaces/SP/pages/983272/DTR+Serisi+Astronomik+Zaman+R%C3%B6lesinden+Kontak+%C3%87%C4%B1k%C4%B1%C5%9F%C4%B1+Al%C4%B1namamas%C4%B1n%C4%B1n+Nedeni+Ne+Olabilir
Koruma & Kontrol Ürün Grubu,MCB-7 ve MCB-8,24 Saat Boyunca Belirli Aralıklar ile Aç Kapa Yaptırabilmek için Zaman Rölesinin Hangi Fonksiyona Sahip Olması Gerekir?,MCB-7 ve MCB-8 zaman röleleri ile 24 saat boyunca kontakları aç/kapa yaptırarak tekrarlayan işlem yaptırabilir miyim?,"Bu işlemi yaptırabilmek için kullanılacak zaman rölesinin flaşör fonksiyonuna sahip olması gerekmektedir.
MCB-9 veya MCB-25 zaman röleleri bu fonksiyona sahiptir.",mcb-9;mcb-7;mcb-8,https://destek.entes.com.tr/spaces/SP/pages/983282/24+Saat+Boyunca+Belirli+Aral%C4%B1klar+ile+A%C3%A7+Kapa+Yapt%C4%B1rabilmek+i%C3%A7in+Zaman+R%C3%B6lesinin+Hangi+Fonksiyona+Sahip+Olmas%C4%B1+Gerekir
Kompanzasyon Ürün Grubu,RGA RGSR RGP,ENTES Reaktif Güç Kontrol Rölelerinde Sekonder Değeri 1A olan Akım Trafosu kullanılabilir mi?,ENTES Reaktif Güç Kontrol Röleleri Sekonder Değeri 1A olan Akım Trafosu kullanılabilir mi?,"RGA, RGSR ve RGP Serisi Reaktif Güç Kontrol Rölelerinde akım trafosu sekonder değeri 1A olarak seçilebilmektedir.
Bu serilerde sekonder değeri 1A veya 5A olan akım trafoları sorunsuz şekilde kullanılmaktadır.",rgsr;rgp;rga;trafosu;1a;akım,https://destek.entes.com.tr/spaces/SP/pages/983512/ENTES+Reaktif+G%C3%BC%C3%A7+Kontrol+R%C3%B6lelerinde+Sekonder+De%C4%9Feri+1A+olan+Ak%C4%B1m+Trafosu+kullan%C4%B1labilir+mi
Kompanzasyon Ürün Grubu,RG3-RGSR-RGA-RGP Serileri,Reaktif Güç Rölelerinde Kademe Devreden Çıkarma / Alma Gecikme Ayarları ile İlgili Önerilen Zaman Süreleri Nelerdir ?,Kademe Devreden Çıkarma / Alma Gecikme Ayarları İle ilgili Önerilen zaman süreleri nelerdir ?,"Kompanzasyon sistemlerinde kademe alma ve bırakma zamanları ile çalışan sistemdeki işlem görmüş (girip çıkmış) kademenin tekrar hangi gecikme ile devreye alınması konusunu belirleyen birkaç neden vardır.
Reaktif güç kontrol rölelerinde bu zamanlar ton, toff ve deşarj süreleri olarak bulunmaktadır.
Devreden çıkmış kondansatörün tekrar güvenli bir şekilde devreye alınabileceği ( kondansatör uçlarındaki şarj geriliminin 40 V un altına düştüğü) süre 52 sn. dir. Kondansatörlerin üstündeki deşarj dirençleri kondansatör gücüne göre, 52 sn de uçlarındaki gerilimi 40V a düşürecek şekilde tasarlanışlardır. Buradaki 40V insan güvenliği gerilimidir.
Kondansatörlerin ideal ömürlü ve kontaktörlerin daha uzun ömürlü olmaları için, deşarj süresinin 40-45 sn cıvarında, ton ve toff sürelerinin 10 sn civarında olması en ideal olanıdır. Bu uygulama yüklerin genel olarak stabil olduğu, kısa süreli değişkenlik göstermediği işletmelerde kullanılır.
Ancak yüklerin hızlı değiştiği, asansör, enjeksiyon makinası, kaynak makinası, punto makinası, enjeksiyon makinası vb. yüklerin çoğunlukta olduğu işletmelerde düzgün kompanzasyon yapılabilmesi için bu sürelerin kısa tutulmasına ihtiyaç duyulmaktadır. Böyle bir durumda kondansatörlerin daha hızlı deşarj edilmesi gerekir. Bunun için de sisteme kondansatör deşarj üniteleri (DU-3) bağlanmalıdır. Yada deşarj ünitesi kullanmadan, kondansatörlerin deşarj olmasını beklemeden sistemde statik kontaktörler kullanılarak 1 sn. ye kadar kısa sürelerle kademeleri devreye alıp çıkarmak mümkün olabilmektedir.
ENTES olarak Reaktif Güç Kontrol Rölelerimiz ton:10sn, toff:10 sn, Deşarj süresi:14sn. olarak üretilmektedir. Müşterilerimiz yukarıdaki gerekçelere göre kademe değerlerini ayarlamaktadırlar.",kademe;rga;rg3;rgsr;kompanzasyon;rgp;kondansatör,https://destek.entes.com.tr/spaces/SP/pages/983498/Reaktif+G%C3%BC%C3%A7+R%C3%B6lelerinde+Kademe+Devreden+%C3%87%C4%B1karma+Alma+Gecikme+Ayarlar%C4%B1+ile+%C4%B0lgili+%C3%96nerilen+Zaman+S%C3%BCreleri+Nelerdir
